lat,lon,time,gpp
42.64,279.44,2012-01-31 00:00:00,1.160975025177022e-09
42.64,279.44,2012-02-28 00:00:00,1.5676590826179507e-09
42.64,279.44,2012-03-31 00:00:00,1.4354328281152022e-08
42.64,279.44,2012-04-30 00:00:00,2.6668270294088527e-08
42.64,279.44,2012-05-31 00:00:00,7.64135055849938e-08
42.64,279.44,2012-06-30 00:00:00,1.2789902215343848e-07
42.64,279.44,2012-07-31 00:00:00,4.520573789663116e-08
42.64,279.44,2012-08-31 00:00:00,6.445999876475013e-08
42.64,279.44,2012-09-30 00:00:00,5.543832884249323e-08
42.64,279.44,2012-10-31 00:00:00,3.7256450759856817e-08
42.64,279.44,2012-11-30 00:00:00,9.157294967455681e-09
42.64,279.44,2012-12-31 00:00:00,1.2518566236985134e-09
42.64,279.44,2013-01-31 00:00:00,9.888992060937737e-10
42.64,279.44,2013-02-28 00:00:00,1.0852610275429066e-09
42.64,279.44,2013-03-31 00:00:00,1.9853165962653665e-09
42.64,279.44,2013-04-30 00:00:00,1.2640631725974304e-08
42.64,279.44,2013-05-31 00:00:00,5.0686792586213115e-08
42.64,279.44,2013-06-30 00:00:00,1.3571398738643168e-07
42.64,279.44,2013-07-31 00:00:00,1.3837775111899836e-07
42.64,279.44,2013-08-31 00:00:00,8.99965130437143e-08
42.64,279.44,2013-09-30 00:00:00,5.923002736593537e-08
42.64,279.44,2013-10-31 00:00:00,4.6021461045419757e-08
42.64,279.44,2013-11-30 00:00:00,8.455426081142263e-09
42.64,279.44,2013-12-31 00:00:00,8.554317813319913e-10
42.64,279.44,2014-01-31 00:00:00,4.646754512810003e-10
42.64,279.44,2014-02-28 00:00:00,5.100895323402951e-10
42.64,279.44,2014-03-31 00:00:00,1.0993232789566788e-09
42.64,279.44,2014-04-30 00:00:00,1.7259083844320042e-08
42.64,279.44,2014-05-31 00:00:00,5.730982550097506e-08
42.64,279.44,2014-06-30 00:00:00,1.0813320697523948e-07
42.64,279.44,2014-07-31 00:00:00,1.1767586269471709e-07
42.64,279.44,2014-08-31 00:00:00,1.0994991905693443e-07
42.64,279.44,2014-09-30 00:00:00,8.623530993749391e-08
42.64,279.44,2014-10-31 00:00:00,4.777065175259956e-08
42.64,279.44,2014-11-30 00:00:00,8.907541755637848e-09
42.64,279.44,2014-12-31 00:00:00,1.0868465007358652e-09
