lat,lon,time,gpp
45.96,11.28,2003-01-31 00:00:00,9.0939682754131e-09
45.96,11.28,2003-02-28 00:00:00,4.945126612937282e-09
45.96,11.28,2003-03-31 00:00:00,2.441164196248549e-08
45.96,11.28,2003-04-30 00:00:00,4.939410621847207e-08
45.96,11.28,2003-05-31 00:00:00,9.348618914889998e-08
45.96,11.28,2003-06-30 00:00:00,1.2185535302515263e-07
45.96,11.28,2003-07-31 00:00:00,1.1923233073902296e-07
45.96,11.28,2003-08-31 00:00:00,1.0857035337320365e-07
45.96,11.28,2003-09-30 00:00:00,8.009188068555786e-08
45.96,11.28,2003-10-31 00:00:00,4.1560452612140224e-08
45.96,11.28,2003-11-30 00:00:00,2.6755700576371005e-08
45.96,11.28,2003-12-31 00:00:00,1.4381182463162655e-08
45.96,11.28,2004-01-31 00:00:00,7.210553930391965e-09
45.96,11.28,2004-02-28 00:00:00,8.883812706390065e-09
45.96,11.28,2004-03-31 00:00:00,2.1068905372077252e-08
45.96,11.28,2004-04-30 00:00:00,5.245540653814126e-08
45.96,11.28,2004-05-31 00:00:00,7.506087211465466e-08
45.96,11.28,2004-06-30 00:00:00,1.059992063543619e-07
45.96,11.28,2004-07-31 00:00:00,1.1560044360882549e-07
45.96,11.28,2004-08-31 00:00:00,1.0831803692706024e-07
45.96,11.28,2004-09-30 00:00:00,7.98677280043933e-08
45.96,11.28,2004-10-31 00:00:00,4.860911287994615e-08
45.96,11.28,2004-11-30 00:00:00,2.690053096283821e-08
45.96,11.28,2004-12-31 00:00:00,1.4397661486341376e-08
45.96,11.28,2005-01-31 00:00:00,5.075936058772192e-09
45.96,11.28,2005-02-28 00:00:00,1.0166769607109563e-09
45.96,11.28,2005-03-31 00:00:00,1.4188905509316969e-08
45.96,11.28,2005-04-30 00:00:00,5.2174987495254045e-08
45.96,11.28,2005-05-31 00:00:00,8.704351587022628e-08
45.96,11.28,2005-06-30 00:00:00,1.0850230949129598e-07
45.96,11.28,2005-07-31 00:00:00,1.1102884823785158e-07
45.96,11.28,2005-08-31 00:00:00,8.422542087663453e-08
45.96,11.28,2005-09-30 00:00:00,8.020007650668558e-08
45.96,11.28,2005-10-31 00:00:00,5.084099003017603e-08
45.96,11.28,2005-11-30 00:00:00,2.5816589664570242e-08
45.96,11.28,2005-12-31 00:00:00,4.4370901575984895e-09
45.96,11.28,2006-01-31 00:00:00,2.0957155712871176e-09
45.96,11.28,2006-02-28 00:00:00,1.2709677672834251e-09
45.96,11.28,2006-03-31 00:00:00,8.13980717101104e-09
45.96,11.28,2006-04-30 00:00:00,5.001646950616818e-08
45.96,11.28,2006-05-31 00:00:00,8.128049565907902e-08
45.96,11.28,2006-06-30 00:00:00,1.0251101757232032e-07
45.96,11.28,2006-07-31 00:00:00,1.1758617982451777e-07
45.96,11.28,2006-08-31 00:00:00,9.512566946088784e-08
45.96,11.28,2006-09-30 00:00:00,8.63655609806106e-08
45.96,11.28,2006-10-31 00:00:00,5.805727207966595e-08
45.96,11.28,2006-11-30 00:00:00,3.288851575133601e-08
45.96,11.28,2006-12-31 00:00:00,1.801539154126518e-08
45.96,11.28,2007-01-31 00:00:00,1.3659036361799086e-08
45.96,11.28,2007-02-28 00:00:00,2.0053081985224368e-08
45.96,11.28,2007-03-31 00:00:00,3.809492397822785e-08
45.96,11.28,2007-04-30 00:00:00,7.51201255377623e-08
45.96,11.28,2007-05-31 00:00:00,8.516218252876155e-08
45.96,11.28,2007-06-30 00:00:00,1.1069946553429636e-07
45.96,11.28,2007-07-31 00:00:00,1.1125403503710211e-07
45.96,11.28,2007-08-31 00:00:00,9.505705419650102e-08
45.96,11.28,2007-09-30 00:00:00,7.713473391048574e-08
45.96,11.28,2007-10-31 00:00:00,5.0545629888087766e-08
45.96,11.28,2007-11-30 00:00:00,2.055861390508216e-08
45.96,11.28,2007-12-31 00:00:00,8.375758291610808e-09
45.96,11.28,2008-01-31 00:00:00,5.4905713110142755e-09
45.96,11.28,2008-02-28 00:00:00,6.551577119519884e-09
45.96,11.28,2008-03-31 00:00:00,2.2351748335013422e-08
45.96,11.28,2008-04-30 00:00:00,4.413171610705729e-08
45.96,11.28,2008-05-31 00:00:00,8.243064261486682e-08
45.96,11.28,2008-06-30 00:00:00,1.04898299627614e-07
45.96,11.28,2008-07-31 00:00:00,1.1905246022689141e-07
45.96,11.28,2008-08-31 00:00:00,1.0818965615346412e-07
45.96,11.28,2008-09-30 00:00:00,7.257992836854645e-08
45.96,11.28,2008-10-31 00:00:00,5.2633198704947104e-08
45.96,11.28,2008-11-30 00:00:00,2.4584771129597574e-08
45.96,11.28,2008-12-31 00:00:00,1.1941470939805604e-08
45.96,11.28,2009-01-31 00:00:00,9.494207591533542e-09
45.96,11.28,2009-02-28 00:00:00,1.0246740150426244e-08
45.96,11.28,2009-03-31 00:00:00,1.4182085833618354e-08
45.96,11.28,2009-04-30 00:00:00,4.4267774114180866e-08
45.96,11.28,2009-05-31 00:00:00,9.386814175535702e-08
45.96,11.28,2009-06-30 00:00:00,1.1044256604984256e-07
45.96,11.28,2009-07-31 00:00:00,1.2046488932123667e-07
45.96,11.28,2009-08-31 00:00:00,1.093854552136157e-07
45.96,11.28,2009-09-30 00:00:00,8.289707062268066e-08
45.96,11.28,2009-10-31 00:00:00,5.2040006519480764e-08
45.96,11.28,2009-11-30 00:00:00,2.4867985752107202e-08
45.96,11.28,2009-12-31 00:00:00,1.1277068906628266e-08
45.96,11.28,2010-01-31 00:00:00,6.7057209736583815e-09
45.96,11.28,2010-02-28 00:00:00,5.8879634163515205e-09
45.96,11.28,2010-03-31 00:00:00,1.539676240840912e-08
45.96,11.28,2010-04-30 00:00:00,5.675415166819544e-08
45.96,11.28,2010-05-31 00:00:00,7.891601564328894e-08
45.96,11.28,2010-06-30 00:00:00,1.040503713338536e-07
